epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4606,1.62106,3.50467,1.27539,0.00427,1,0.01444,0.0055,1.27749,3.84872,1.23756,2e-05,2e-05,2e-05
2,65.1318,1.5973,3.46236,1.31455,0.00427,1,0.03713,0.01571,1.19617,3.7987,1.1625,5.9406e-05,5.9406e-05,5.9406e-05
3,94.1496,1.43123,3.376,1.24324,0.00427,1,0.37448,0.18976,1.08316,3.67752,1.07068,9.802e-05,9.802e-05,9.802e-05
4,123.037,1.27191,3.10392,1.16264,0.00427,1,0.69937,0.44063,1.05043,3.5596,0.9811,0.000135842,0.000135842,0.000135842
5,152.131,1.2792,2.93459,1.08844,0.00427,1,0.80472,0.5548,0.90095,3.49486,0.91904,0.000172872,0.000172872,0.000172872
6,181.609,1.19967,2.70587,1.04389,0.00427,1,0.8911,0.68063,0.7667,3.4245,0.87235,0.00020911,0.00020911,0.00020911
7,210.584,1.13271,2.30666,0.99087,0.00427,1,0.93821,0.70942,0.77431,3.38124,0.86137,0.000244556,0.000244556,0.000244556
8,239.789,1.1401,2.01895,1.00078,0.00427,1,0.92752,0.65982,0.85584,3.4362,0.88114,0.00027921,0.00027921,0.00027921
9,266.867,0.98448,1.70406,0.94053,0.00427,1,0.93737,0.64857,0.85708,3.43023,0.88714,0.000313072,0.000313072,0.000313072
10,287.574,1.13262,1.58262,0.98817,0.00427,1,0.94902,0.69115,0.82711,3.33365,0.87422,0.000346142,0.000346142,0.000346142
11,308.495,0.97989,1.64111,0.95056,0.00427,1,0.97165,0.68887,0.83196,3.29573,0.86741,0.00037842,0.00037842,0.00037842
12,329.449,1.00003,1.62926,0.95046,1,0.71435,0.97712,0.69717,0.8513,3.25777,0.85468,0.000409906,0.000409906,0.000409906
13,350.288,1.03852,1.63893,0.96051,1,0.31723,0.9457,0.66848,0.82768,3.23731,0.85219,0.0004406,0.0004406,0.0004406
14,371.241,0.92961,1.53625,0.93048,1,0.75717,0.91613,0.64931,0.79603,3.25641,0.84662,0.000470502,0.000470502,0.000470502
15,392.222,0.99711,1.34158,0.91565,0.37411,0.92683,0.89357,0.62955,0.76207,3.27911,0.83889,0.000499612,0.000499612,0.000499612
16,413.325,0.89274,1.38782,0.92012,0.00427,1,0.88689,0.59633,0.8168,3.29951,0.85248,0.00052793,0.00052793,0.00052793
17,434.317,0.96011,1.45624,0.89411,0.01021,0.97561,0.86813,0.58366,0.78322,3.32804,0.84986,0.000555456,0.000555456,0.000555456
18,455.396,0.9059,1.35556,0.9268,0.01064,1,0.78801,0.50814,0.77807,3.34695,0.85675,0.00058219,0.00058219,0.00058219
19,476.654,0.88241,1.35464,0.93065,0.00973,0.95122,0.76558,0.53907,0.77256,3.33758,0.85179,0.000608132,0.000608132,0.000608132
20,497.648,0.79915,1.25491,0.90954,0.37587,0.87805,0.79387,0.57925,0.80233,3.34198,0.85366,0.000633282,0.000633282,0.000633282
21,518.748,0.84936,1.24928,0.91905,0.01036,0.97561,0.88268,0.61673,0.81788,3.31783,0.86675,0.00065764,0.00065764,0.00065764
22,541.477,0.92293,1.22656,0.91942,0.01041,1,0.8859,0.56743,0.92465,3.28319,0.91124,0.000681206,0.000681206,0.000681206
23,563.738,0.88451,1.25766,0.91569,0.12155,0.97561,0.81724,0.55856,0.82372,3.24295,0.89872,0.00070398,0.00070398,0.00070398
24,586.129,0.89635,1.30315,0.93026,0.01069,0.95122,0.78007,0.54548,0.80278,3.227,0.9079,0.000725962,0.000725962,0.000725962
25,608.444,0.89735,1.25162,0.93868,0.01006,0.95122,0.67687,0.44839,0.90319,3.33463,0.94755,0.000747152,0.000747152,0.000747152
26,630.126,0.84209,1.13621,0.90113,0.00969,1,0.63249,0.45023,0.92819,3.38443,0.96689,0.00076755,0.00076755,0.00076755
27,651.377,0.9496,1.25543,0.95776,0.00941,1,0.65929,0.50444,0.81135,3.31029,0.92344,0.000787156,0.000787156,0.000787156
28,672.616,0.80294,1.26774,0.89349,0.00941,1,0.65929,0.50444,0.81135,3.31029,0.92344,0.00080597,0.00080597,0.00080597
